Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Moscou; 6; Chambre; Bricolage; Pas d animaux; Balade à cheval; Transfert possible; Petit déjeuner; 24/5/2023; 25/5/2023; -99; 31; 3; 5247
Marseille; 3; Cabane dans un arbre; Bricolage, Promener les chiens; ; Parking, Wifi, Balade à cheval; Transfert possible; Pension complète; 11/9/2024; 12/9/2024; -99; 46; 2; 5248
Strasbourg; 3; Tente; Babysitting; Non fumeur; Balade à cheval, Piscine; Pas de transfert; Pension complète; 7/6/2023; 8/6/2023; -99; 83; 3; 5249
Toulouse; 6; Cabane dans un arbre; Babysitting; ; Blanchissage, Parking, Piscine; Transfert possible; Demi-pension; 6/1/2024; 11/1/2024; -99; 58; 2; 5250
Toulouse; 6; Tente; Promener les chiens; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Petit déjeuner; 30/11/2023; 31/12/2023; -99; 31; 3; 5251
Berlin; 3; Tente; Donner des cours d anglais, Babysitting; ; Balade à cheval; Pas de transfert; Petit déjeuner; 26/1/2024; 29/1/2024; -99; 54; 1; 5252
Paris; 3; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Balade à cheval, Parking; Transfert possible; Demi-pension; 13/8/2023; 14/8/2023; -99; 24; 1; 5253
Berlin; 2; Tente; Promener les chiens, Babysitting; ; Wifi, Parking, Blanchissage; Pas de transfert; Pension complète; 21/5/2024; 25/5/2024; -99; 46; 1; 5254
Draguignan; 5; Tente; Bricolage; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 6/3/2023; 16/3/2023; -99; 45; 1; 5255
Strasbourg; 6; Chambre; Bricolage; Non fumeur; Blanchissage, Parking, Wifi; Transfert possible; Demi-pension; 16/4/2024; 17/4/2024; -99; 53; 3; 5256
Seville; 5; Chambre; Bricolage; Non fumeur; Parking, Wifi; Transfert possible; Demi-pension; 5/3/2023; 24/3/2023; -99; 82; 1; 5257
Avignon; 2; Tente; Jardinage, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage, Parking, Balade à cheval; Pas de transfert; Demi-pension; 7/1/2024; 11/1/2024; -99; 23; 3; 5258
Strasbourg; 6; Cabane dans un arbre; Promener les chiens, Babysitting; Non fumeur, Pas d animaux; Piscine; Transfert possible; Petit déjeuner; 16/4/2022; 17/4/2022; -99; 81; 1; 5259
Seville; 2; Cabane dans un arbre; Donner des cours d anglais, Babysitting; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage, Wifi; Pas de transfert; Pension complète; 23/5/2023; 24/5/2023; -99; 22; 2; 5260
Seville; 4; Tente; Promener les chiens, Donner des cours d anglais; ; Wifi; Pas de transfert; Petit déjeuner; 8/11/2023; 16/11/2023; -99; 2; 3; 5261
Moscou; 3; Chambre; Promener les chiens, Jardinage; Pas d animaux; Piscine, Balade à cheval; Transfert possible; Pension complète; 11/8/2023; 16/8/2023; -99; 78; 2; 5262
Strasbourg; 4; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Parking, Piscine, Blanchissage; Transfert possible; Demi-pension; 1/4/2024; 13/4/2024; -99; 26; 3; 5263
Strasbourg; 4; Chambre; Babysitting; Pas d animaux; Blanchissage; Pas de transfert; Pension complète; 6/8/2024; 12/8/2024; -99; 28; 3; 5264
Chartres; 3; Chambre; Babysitting, Donner des cours d anglais; ; Parking, Blanchissage, Wifi; Transfert possible; Pension complète; 7/7/2022; 11/7/2022; -99; 42; 1; 5265
Paris; 4; Chambre; Promener les chiens; Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 22/6/2023; 23/6/2023; -99; 14; 3; 5266
Berlin; 2; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval, Parking; Pas de transfert; Demi-pension; 22/7/2023; 23/7/2023; -99; 62; 1; 5267
Berlin; 4; Tente; Jardinage, Bricolage; Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 22/9/2024; 28/9/2024; -99; 89; 1; 5268
Seville; 3; Cabane dans un arbre; Donner des cours d anglais, Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Piscine; Pas de transfert; Pension complète; 29/5/2022; 30/5/2022; -99; 26; 1; 5269
Paris; 2; Cabane dans un arbre; Promener les chiens, Donner des cours d anglais; Non fumeur, Pas d animaux; Wifi, Parking, Balade à cheval; Pas de transfert; Petit déjeuner; 13/10/2023; 14/10/2023; -99; 4; 1; 5270
Marseille; 2; Tente; Jardinage, Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine; Transfert possible; Pension complète; 17/3/2023; 18/3/2023; -99; 97; 1; 5271
Moscou; 2; Cabane dans un arbre; Babysitting; ; Wifi; Pas de transfert; Demi-pension; 7/6/2024; 29/6/2024; -99; 84; 3; 5272
Toulouse; 4; Tente; Babysitting, Promener les chiens; Pas d animaux, Non fumeur; Blanchissage, Parking; Transfert possible; Petit déjeuner; 3/11/2024; 16/11/2024; -99; 53; 3; 5273
Moscou; 5; Tente; Jardinage; Non fumeur, Pas d animaux; Wifi, Parking; Pas de transfert; Petit déjeuner; 26/11/2022; 27/11/2022; -99; 70; 2; 5274
Toulouse; 2; Tente; Babysitting, Donner des cours d anglais; ; Piscine; Transfert possible; Pension complète; 1/5/2024; 20/5/2024; -99; 76; 1; 5275
Strasbourg; 3; Chambre; Jardinage, Babysitting; ; Blanchissage; Transfert possible; Pension complète; 11/1/2023; 17/1/2023; -99; 49; 1; 5276
Draguignan; 4; Tente; Bricolage; Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 11/10/2024; 22/10/2024; -99; 55; 2; 5277
Chartres; 6; Tente; Donner des cours d anglais, Babysitting; Pas d animaux; Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 22/4/2022; 23/4/2022; -99; 86; 1; 5278
Avignon; 5; Chambre; Babysitting, Bricolage; Non fumeur, Pas d animaux; Piscine, Blanchissage; Transfert possible; Demi-pension; 25/2/2024; 26/2/2024; -99; 86; 3; 5279
Avignon; 2; Chambre; Bricolage, Donner des cours d anglais; Pas d animaux; Piscine; Pas de transfert; Pension complète; 8/5/2022; 9/5/2022; -99; 75; 2; 5280
Toulouse; 4; Cabane dans un arbre; Babysitting, Donner des cours d anglais; ; Wifi, Parking; Pas de transfert; Demi-pension; 3/4/2023; 26/4/2023; -99; 47; 1; 5281
Berlin; 2; Cabane dans un arbre; Promener les chiens; Non fumeur; Balade à cheval, Wifi, Parking; Transfert possible; Pension complète; 6/12/2022; 16/12/2022; -99; 66; 2; 5282
Draguignan; 5; Chambre; Babysitting, Bricolage; Pas d animaux, Non fumeur; Parking, Wifi; Transfert possible; Pension complète; 28/11/2024; 29/11/2024; -99; 46; 2; 5283
Seville; 6; Tente; Promener les chiens, Bricolage; ; Balade à cheval, Wifi, Piscine; Transfert possible; Demi-pension; 9/9/2023; 27/9/2023; -99; 20; 1; 5284
Paris; 4; Cabane dans un arbre; Promener les chiens; Pas d animaux; Wifi, Blanchissage, Parking; Transfert possible; Pension complète; 30/1/2024; 31/1/2024; -99; 73; 1; 5285
Avignon; 2; Cabane dans un arbre; Jardinage; ; Balade à cheval; Pas de transfert; Demi-pension; 24/6/2022; 25/6/2022; -99; 67; 1; 5286
Marseille; 3; Chambre; Jardinage; ; Blanchissage; Pas de transfert; Demi-pension; 27/6/2022; 28/6/2022; -99; 23; 1; 5287
Paris; 4; Chambre; Jardinage; ; Wifi, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 24/2/2023; 25/2/2023; -99; 95; 2; 5288
Marseille; 2; Chambre; Bricolage, Babysitting; Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 17/12/2023; 21/12/2023; -99; 26; 2; 5289
Berlin; 3; Chambre; Babysitting, Bricolage; Non fumeur, Pas d animaux; Piscine, Parking, Blanchissage; Transfert possible; Petit déjeuner; 23/5/2023; 24/5/2023; -99; 82; 1; 5290
Berlin; 6; Cabane dans un arbre; Bricolage, Promener les chiens; ; Blanchissage, Parking; Transfert possible; Petit déjeuner; 4/6/2023; 5/6/2023; -99; 44; 2; 5291
Marseille; 2; Cabane dans un arbre; Babysitting; ; Balade à cheval, Parking, Wifi; Transfert possible; Pension complète; 31/3/2024; 32/3/2024; -99; 54; 3; 5292
Moscou; 4; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Demi-pension; 29/12/2023; 30/12/2023; -99; 83; 2; 5293
Marseille; 4; Cabane dans un arbre; Babysitting; ; Parking, Wifi, Balade à cheval; Transfert possible; Pension complète; 1/4/2023; 2/4/2023; -99; 51; 2; 5294
Chartres; 5; Tente; Promener les chiens, Babysitting; ; Parking, Piscine, Blanchissage; Pas de transfert; Pension complète; 8/5/2022; 18/5/2022; -99; 84; 3; 5295
Strasbourg; 2; Tente; Babysitting; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 27/12/2022; 28/12/2022; -99; 62; 1; 5296
Draguignan; 4; Chambre; Babysitting; Pas d animaux, Non fumeur; Blanchissage, Piscine; Pas de transfert; Pension complète; 20/7/2024; 21/7/2024; -99; 44; 2; 5297
Seville; 3; Chambre; Jardinage; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 27/6/2024; 28/6/2024; -99; 59; 2; 5298
Strasbourg; 4; Cabane dans un arbre; Donner des cours d anglais; ; Piscine, Parking; Transfert possible; Petit déjeuner; 30/6/2024; 31/7/2024; -99; 52; 3; 5299
Chartres; 5; Chambre; Promener les chiens, Babysitting; ; Blanchissage, Wifi, Balade à cheval; Transfert possible; Demi-pension; 10/2/2024; 29/2/2024; -99; 1; 2; 5300
Draguignan; 2; Cabane dans un arbre; Jardinage, Babysitting; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Pension complète; 8/2/2024; 20/2/2024; -99; 66; 3; 5301
Chartres; 3; Cabane dans un arbre; Babysitting; Pas d animaux; Parking, Piscine, Wifi; Transfert possible; Pension complète; 5/4/2024; 16/4/2024; -99; 97; 3; 5302
Strasbourg; 6; Chambre; Bricolage, Babysitting; Non fumeur; Parking; Pas de transfert; Pension complète; 14/7/2022; 15/7/2022; -99; 86; 2; 5303
Chartres; 6; Tente; Promener les chiens; Non fumeur, Pas d animaux; Parking, Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 8/2/2023; 17/2/2023; -99; 84; 2; 5304
Seville; 5; Chambre; Bricolage; Pas d animaux; Balade à cheval, Piscine; Transfert possible; Pension complète; 26/7/2023; 27/7/2023; -99; 42; 3; 5305
Seville; 6; Chambre; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Parking, Piscine; Pas de transfert; Petit déjeuner; 11/6/2024; 13/6/2024; -99; 55; 2; 5306
Draguignan; 3; Tente; Bricolage; ; Balade à cheval, Blanchissage; Transfert possible; Pension complète; 22/12/2023; 23/12/2023; -99; 8; 2; 5307
Draguignan; 6; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Piscine; Transfert possible; Demi-pension; 31/1/2024; 32/1/2024; -99; 96; 2; 5308
Toulouse; 3; Tente; Jardinage, Bricolage; ; Piscine, Blanchissage, Parking; Pas de transfert; Petit déjeuner; 9/8/2022; 10/8/2022; -99; 33; 2; 5309
Strasbourg; 4; Tente; Babysitting, Bricolage; ; Blanchissage; Pas de transfert; Demi-pension; 8/8/2024; 27/8/2024; -99; 69; 1; 5310
Paris; 3; Cabane dans un arbre; Bricolage; ; Wifi; Pas de transfert; Demi-pension; 11/1/2023; 21/1/2023; -99; 24; 1; 5311
Draguignan; 5; Tente; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 9/11/2023; 31/11/2023; -99; 85; 1; 5312
Chartres; 3; Tente; Bricolage, Promener les chiens; ; Piscine, Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 4/5/2023; 5/5/2023; -99; 98; 3; 5313
Moscou; 6; Cabane dans un arbre; Jardinage; ; Wifi, Parking; Transfert possible; Petit déjeuner; 9/10/2022; 21/10/2022; -99; 68; 1; 5314
Toulouse; 5; Cabane dans un arbre; Jardinage; Pas d animaux; Parking, Blanchissage, Balade à cheval; Transfert possible; Pension complète; 26/8/2024; 27/8/2024; -99; 76; 2; 5315
Paris; 3; Cabane dans un arbre; Bricolage; Pas d animaux, Non fumeur; Wifi, Balade à cheval, Parking; Transfert possible; Demi-pension; 20/4/2022; 21/4/2022; -99; 97; 3; 5316
Marseille; 6; Tente; Promener les chiens, Bricolage; Non fumeur, Pas d animaux; Parking; Pas de transfert; Petit déjeuner; 3/4/2024; 31/4/2024; -99; 85; 3; 5317
Avignon; 2; Tente; Jardinage, Promener les chiens; ; Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 1/3/2024; 9/3/2024; -99; 82; 1; 5318
Seville; 6; Chambre; Promener les chiens; Non fumeur; Piscine; Transfert possible; Petit déjeuner; 10/12/2024; 27/12/2024; -99; 62; 2; 5319
Chartres; 6; Cabane dans un arbre; Donner des cours d anglais; ; Wifi; Transfert possible; Demi-pension; 17/7/2023; 26/7/2023; -99; 72; 1; 5320
Seville; 4; Cabane dans un arbre; Donner des cours d anglais, Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Piscine; Transfert possible; Pension complète; 20/10/2022; 21/10/2022; -99; 81; 2; 5321
Toulouse; 5; Chambre; Promener les chiens, Donner des cours d anglais; ; Balade à cheval; Pas de transfert; Pension complète; 16/9/2024; 17/9/2024; -99; 5; 2; 5322
Berlin; 2; Cabane dans un arbre; Babysitting; ; Piscine, Parking; Pas de transfert; Demi-pension; 18/10/2023; 19/10/2023; -99; 31; 2; 5323
Moscou; 2; Tente; Promener les chiens, Babysitting; Pas d animaux, Non fumeur; Piscine, Parking, Wifi; Transfert possible; Petit déjeuner; 8/9/2022; 27/9/2022; -99; 99; 2; 5324
Avignon; 3; Tente; Jardinage; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage, Wifi; Pas de transfert; Pension complète; 15/8/2022; 16/8/2022; -99; 23; 1; 5325
Seville; 4; Chambre; Promener les chiens; Non fumeur; Wifi; Pas de transfert; Demi-pension; 29/9/2023; 30/9/2023; -99; 4; 1; 5326
Berlin; 3; Chambre; Bricolage, Jardinage; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Pension complète; 4/7/2022; 31/7/2022; -99; 46; 1; 5327
Toulouse; 2; Tente; Promener les chiens; Pas d animaux; Piscine, Wifi, Blanchissage; Pas de transfert; Demi-pension; 2/11/2023; 28/11/2023; -99; 65; 1; 5328
Marseille; 6; Cabane dans un arbre; Promener les chiens; ; Blanchissage, Balade à cheval; Transfert possible; Demi-pension; 13/8/2022; 19/8/2022; -99; 64; 1; 5329
Strasbourg; 5; Cabane dans un arbre; Jardinage, Babysitting; Non fumeur, Pas d animaux; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 23/2/2024; 24/2/2024; -99; 62; 1; 5330
Avignon; 3; Chambre; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Parking; Transfert possible; Demi-pension; 30/8/2022; 31/8/2022; -99; 91; 1; 5331
Marseille; 5; Chambre; Donner des cours d anglais; ; Balade à cheval; Pas de transfert; Pension complète; 10/5/2023; 13/5/2023; -99; 75; 3; 5332
Paris; 2; Tente; Babysitting; Non fumeur, Pas d animaux; Piscine, Balade à cheval; Transfert possible; Demi-pension; 16/1/2023; 17/1/2023; -99; 31; 2; 5333
Avignon; 4; Cabane dans un arbre; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Wifi; Pas de transfert; Pension complète; 19/9/2022; 20/9/2022; -99; 84; 3; 5334
Marseille; 6; Chambre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Parking, Piscine, Balade à cheval; Pas de transfert; Petit déjeuner; 12/8/2023; 13/8/2023; -99; 11; 2; 5335
Marseille; 5; Tente; Babysitting, Promener les chiens; Non fumeur; Blanchissage; Transfert possible; Petit déjeuner; 1/11/2023; 22/11/2023; -99; 79; 1; 5336
Moscou; 4; Cabane dans un arbre; Donner des cours d anglais, Babysitting; Pas d animaux; Blanchissage, Parking, Piscine; Pas de transfert; Pension complète; 13/5/2023; 31/5/2023; -99; 79; 2; 5337
Marseille; 3; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Piscine, Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 4/6/2022; 31/6/2022; -99; 36; 2; 5338
Toulouse; 6; Chambre; Promener les chiens, Babysitting; ; Parking, Piscine, Wifi; Transfert possible; Demi-pension; 29/7/2024; 30/7/2024; -99; 36; 3; 5339
Seville; 4; Tente; Jardinage, Bricolage; Non fumeur; Parking; Transfert possible; Pension complète; 27/5/2022; 28/5/2022; -99; 66; 3; 5340
Marseille; 6; Cabane dans un arbre; Bricolage; ; Balade à cheval, Parking; Transfert possible; Demi-pension; 13/9/2023; 31/9/2023; -99; 41; 1; 5341
Avignon; 6; Chambre; Jardinage; Non fumeur; Piscine, Parking; Transfert possible; Petit déjeuner; 13/2/2023; 29/2/2023; -99; 28; 1; 5342
Chartres; 4; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 3/5/2024; 4/5/2024; -99; 36; 2; 5343
Strasbourg; 5; Tente; Jardinage, Babysitting; Pas d animaux, Non fumeur; Wifi; Transfert possible; Pension complète; 29/12/2024; 30/12/2024; -99; 10; 1; 5344
Moscou; 6; Tente; Promener les chiens, Jardinage; ; Piscine; Transfert possible; Pension complète; 11/5/2024; 12/5/2024; -99; 57; 1; 5345
Seville; 3; Chambre; Promener les chiens, Jardinage; Non fumeur; Balade à cheval, Blanchissage, Wifi; Transfert possible; Petit déjeuner; 10/10/2024; 11/10/2024; -99; 65; 1; 5346
Chartres; 2; Cabane dans un arbre; Babysitting; Non fumeur; Piscine, Wifi; Pas de transfert; Demi-pension; 8/11/2022; 12/11/2022; -99; 31; 2; 5347
Avignon; 5; Cabane dans un arbre; Babysitting, Donner des cours d anglais; ; Parking, Piscine, Balade à cheval; Transfert possible; Demi-pension; 13/11/2024; 14/11/2024; -99; 58; 2; 5348
Paris; 5; Chambre; Bricolage; Pas d animaux; Piscine, Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 29/1/2023; 30/1/2023; -99; 80; 3; 5349
Paris; 2; Chambre; Donner des cours d anglais, Jardinage; Pas d animaux; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 30/6/2022; 31/7/2022; -99; 59; 1; 5350
Strasbourg; 2; Cabane dans un arbre; Jardinage, Babysitting; ; Piscine, Parking, Balade à cheval; Pas de transfert; Pension complète; 9/6/2023; 10/6/2023; -99; 33; 1; 5351
Seville; 6; Cabane dans un arbre; Donner des cours d anglais; ; Blanchissage, Wifi; Pas de transfert; Demi-pension; 31/10/2022; 32/10/2022; -99; 48; 2; 5352
Strasbourg; 5; Tente; Donner des cours d anglais, Bricolage; Non fumeur; Blanchissage, Wifi, Piscine; Pas de transfert; Pension complète; 8/1/2024; 9/1/2024; -99; 5; 2; 5353
Seville; 6; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Parking; Transfert possible; Petit déjeuner; 14/12/2024; 17/12/2024; -99; 99; 2; 5354
Chartres; 3; Tente; Bricolage; Non fumeur, Pas d animaux; Parking; Transfert possible; Demi-pension; 22/9/2024; 23/9/2024; -99; 66; 1; 5355
Seville; 6; Tente; Jardinage, Babysitting; ; Wifi, Balade à cheval, Piscine; Transfert possible; Petit déjeuner; 4/11/2024; 5/11/2024; -99; 6; 2; 5356
Seville; 4; Tente; Donner des cours d anglais; Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 18/2/2024; 28/2/2024; -99; 80; 3; 5357
Draguignan; 3; Chambre; Babysitting; Pas d animaux; Parking; Pas de transfert; Petit déjeuner; 13/9/2022; 16/9/2022; -99; 83; 1; 5358
Marseille; 2; Chambre; Bricolage, Promener les chiens; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Demi-pension; 1/10/2022; 31/10/2022; -99; 57; 2; 5359
Chartres; 6; Chambre; Jardinage; ; Blanchissage, Balade à cheval, Wifi; Transfert possible; Pension complète; 12/10/2023; 13/10/2023; -99; 62; 3; 5360
Draguignan; 5; Cabane dans un arbre; Babysitting; Pas d animaux; Balade à cheval, Wifi, Blanchissage; Pas de transfert; Demi-pension; 23/7/2022; 24/7/2022; -99; 78; 3; 5361
Draguignan; 3; Chambre; Jardinage; Pas d animaux, Non fumeur; Parking; Pas de transfert; Petit déjeuner; 10/8/2022; 22/8/2022; -99; 7; 3; 5362
Moscou; 3; Tente; Bricolage, Donner des cours d anglais; ; Wifi; Transfert possible; Demi-pension; 3/12/2023; 27/12/2023; -99; 20; 3; 5363
Draguignan; 5; Chambre; Jardinage; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Petit déjeuner; 27/1/2024; 28/1/2024; -99; 35; 1; 5364
Seville; 2; Tente; Jardinage, Bricolage; ; Piscine, Balade à cheval, Parking; Transfert possible; Petit déjeuner; 19/6/2023; 26/6/2023; -99; 21; 1; 5365
Seville; 4; Chambre; Babysitting; Non fumeur, Pas d animaux; Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 10/6/2022; 26/6/2022; -99; 53; 3; 5366
Paris; 2; Tente; Bricolage, Babysitting; Non fumeur; Blanchissage; Pas de transfert; Demi-pension; 6/7/2022; 18/7/2022; -99; 68; 2; 5367
Marseille; 4; Chambre; Bricolage, Jardinage; Non fumeur; Blanchissage, Piscine, Wifi; Pas de transfert; Petit déjeuner; 18/1/2024; 27/1/2024; -99; 61; 3; 5368
Marseille; 2; Chambre; Bricolage; ; Piscine; Pas de transfert; Petit déjeuner; 7/4/2023; 8/4/2023; -99; 20; 1; 5369
Draguignan; 3; Chambre; Bricolage; ; Parking, Blanchissage; Transfert possible; Demi-pension; 29/7/2024; 30/7/2024; -99; 1; 1; 5370
Moscou; 2; Cabane dans un arbre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Piscine, Parking, Blanchissage; Transfert possible; Demi-pension; 15/9/2023; 17/9/2023; -99; 45; 2; 5371
Berlin; 2; Chambre; Jardinage; Pas d animaux; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Pension complète; 30/5/2024; 31/5/2024; -99; 53; 2; 5372
Moscou; 6; Tente; Bricolage; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 9/9/2024; 10/9/2024; -99; 61; 3; 5373
Chartres; 3; Chambre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Parking, Wifi; Pas de transfert; Demi-pension; 22/5/2022; 23/5/2022; -99; 76; 3; 5374
Chartres; 6; Tente; Bricolage, Jardinage; Non fumeur, Pas d animaux; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 2/10/2023; 16/10/2023; -99; 5; 1; 5375
Paris; 3; Tente; Jardinage, Bricolage; ; Piscine, Wifi; Transfert possible; Demi-pension; 30/9/2023; 31/10/2023; -99; 100; 3; 5376
Draguignan; 6; Chambre; Bricolage, Promener les chiens; ; Balade à cheval, Wifi, Piscine; Transfert possible; Petit déjeuner; 11/4/2024; 12/4/2024; -99; 90; 1; 5377
Avignon; 3; Tente; Promener les chiens, Donner des cours d anglais; Non fumeur; Wifi, Blanchissage; Pas de transfert; Demi-pension; 19/1/2024; 20/1/2024; -99; 22; 3; 5378
Chartres; 3; Chambre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Demi-pension; 8/8/2023; 9/8/2023; -99; 88; 2; 5379
Marseille; 2; Chambre; Babysitting; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Pension complète; 6/8/2024; 12/8/2024; -99; 17; 1; 5380
Avignon; 5; Chambre; Jardinage; Pas d animaux, Non fumeur; Parking, Blanchissage, Balade à cheval; Transfert possible; Demi-pension; 21/12/2022; 22/12/2022; -99; 15; 2; 5381
Marseille; 5; Tente; Jardinage; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Petit déjeuner; 13/9/2024; 17/9/2024; -99; 16; 2; 5382
Avignon; 6; Cabane dans un arbre; Jardinage, Babysitting; ; Blanchissage; Pas de transfert; Petit déjeuner; 2/11/2023; 10/11/2023; -99; 46; 1; 5383
Berlin; 6; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Demi-pension; 12/4/2022; 13/4/2022; -99; 37; 1; 5384
Avignon; 4; Tente; Babysitting, Bricolage; Non fumeur, Pas d animaux; Piscine, Blanchissage, Balade à cheval; Pas de transfert; Pension complète; 23/11/2022; 24/11/2022; -99; 72; 3; 5385
Draguignan; 3; Cabane dans un arbre; Bricolage, Promener les chiens; Pas d animaux; Wifi, Blanchissage; Pas de transfert; Demi-pension; 26/9/2023; 27/9/2023; -99; 75; 3; 5386
Avignon; 2; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Balade à cheval, Parking; Transfert possible; Demi-pension; 17/10/2022; 28/10/2022; -99; 83; 1; 5387
Berlin; 2; Chambre; Promener les chiens, Babysitting; ; Wifi, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 5/7/2022; 6/7/2022; -99; 9; 1; 5388
Chartres; 3; Tente; Jardinage, Donner des cours d anglais; ; Blanchissage; Pas de transfert; Petit déjeuner; 1/4/2024; 31/4/2024; -99; 90; 3; 5389
Chartres; 6; Chambre; Jardinage, Promener les chiens; Pas d animaux; Balade à cheval, Wifi, Parking; Transfert possible; Petit déjeuner; 28/9/2022; 29/9/2022; -99; 24; 1; 5390
Seville; 3; Chambre; Bricolage; Pas d animaux; Parking, Wifi, Blanchissage; Transfert possible; Demi-pension; 1/5/2022; 24/5/2022; -99; 9; 1; 5391
Berlin; 3; Cabane dans un arbre; Babysitting; Non fumeur, Pas d animaux; Piscine, Parking; Transfert possible; Petit déjeuner; 19/11/2023; 20/11/2023; -99; 8; 2; 5392
Toulouse; 2; Chambre; Promener les chiens; Pas d animaux; Blanchissage, Parking, Wifi; Pas de transfert; Pension complète; 30/5/2024; 31/5/2024; -99; 30; 1; 5393
Marseille; 2; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 24/4/2022; 25/4/2022; -99; 41; 1; 5394
Marseille; 2; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Piscine, Wifi, Parking; Pas de transfert; Pension complète; 14/10/2022; 15/10/2022; -99; 57; 3; 5395
Avignon; 3; Tente; Babysitting; Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 1/6/2023; 3/6/2023; -99; 29; 3; 5396
Seville; 6; Tente; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Parking, Wifi; Transfert possible; Demi-pension; 25/12/2024; 26/12/2024; -99; 33; 2; 5397
Moscou; 2; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux, Non fumeur; Parking; Pas de transfert; Petit déjeuner; 31/12/2022; 32/12/2022; -99; 93; 1; 5398
Draguignan; 4; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Parking; Transfert possible; Demi-pension; 8/1/2024; 15/1/2024; -99; 72; 3; 5399
Marseille; 3; Cabane dans un arbre; Bricolage, Donner des cours d anglais; ; Piscine, Parking; Transfert possible; Pension complète; 16/6/2022; 26/6/2022; -99; 65; 2; 5400
Seville; 3; Chambre; Donner des cours d anglais; Pas d animaux; Parking, Wifi, Piscine; Transfert possible; Demi-pension; 30/7/2022; 31/7/2022; -99; 2; 2; 5401
